clip,actor,sentence,intended,intensity,n_raters,v_A,v_D,v_F,v_H,v_N,v_S,p_A,p_D,p_F,p_H,p_N,p_S,tied,unambiguous,agreement,perceived,perceived_randtie,perceived_strict,entropy,p_intended
1001_IEO_HAP_HI,1001,IEO,H,HI,10,2,0,0,6,2,0,0.2,0.0,0.0,0.6,0.2,0.0,False,True,0.6,H,H,H,0.5303560860446522,0.6
1001_IEO_HAP_LO,1001,IEO,H,LO,9,0,0,0,3,6,0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,False,True,0.6666666666666666,N,N,N,0.355245321275764,0.3333333333333333
1001_IEO_HAP_MD,1001,IEO,H,MD,11,0,0,0,4,7,0,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,False,True,0.6363636363636364,N,N,N,0.3658313435250293,0.36363636363636365
1001_IEO_NEU_XX,1001,IEO,N,XX,11,0,0,0,1,10,0,0.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0,False,True,0.9090909090909091,N,N,N,0.17002064316171006,0.9090909090909091
1001_IEO_SAD_HI,1001,IEO,S,HI,9,1,0,0,1,7,0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.0
1001_IEO_SAD_LO,1001,IEO,S,LO,10,1,1,0,0,7,1,0.1,0.1,0.0,0.0,0.7,0.1,False,True,0.7,N,N,N,0.5248740161872845,0.1
1001_IEO_SAD_MD,1001,IEO,S,MD,10,0,1,1,0,8,0,0.0,0.1,0.1,0.0,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.0
1001_IOM_ANG_XX,1001,IOM,A,XX,10,1,0,2,0,7,0,0.1,0.0,0.2,0.0,0.7,0.0,False,True,0.7,N,N,N,0.44750345474037617,0.1
1001_IOM_DIS_XX,1001,IOM,D,XX,10,2,1,1,0,6,0,0.2,0.1,0.1,0.0,0.6,0.0,False,True,0.6,N,N,N,0.6077266474915604,0.1
1001_IOM_FEA_XX,1001,IOM,F,XX,11,5,4,0,0,2,0,0.45454545454545453,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,False,True,0.45454545454545453,A,A,A,0.5783135530271315,0.0
1001_IOM_HAP_XX,1001,IOM,H,XX,11,1,0,0,4,6,0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.5454545454545454,0.0,False,True,0.5454545454545454,N,N,N,0.5114887914806514,0.36363636363636365
1001_IOM_NEU_XX,1001,IOM,N,XX,11,0,1,0,4,6,0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.5454545454545454,0.0,False,True,0.5454545454545454,N,N,N,0.5114887914806514,0.5454545454545454
1001_IOM_SAD_XX,1001,IOM,S,XX,11,2,0,1,0,8,0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.7272727272727273,0.0,False,True,0.7272727272727273,N,N,N,0.42391147055140155,0.0
1001_ITH_ANG_XX,1001,ITH,A,XX,10,3,3,1,0,3,0,0.3,0.3,0.1,0.0,0.3,0.0,True,False,0.3,D,D,TIE,0.7332647354495562,0.3
1001_ITH_DIS_XX,1001,ITH,D,XX,11,0,2,4,0,5,0,0.0,0.18181818181818182,0.36363636363636365,0.0,0.45454545454545453,0.0,False,True,0.45454545454545453,N,N,N,0.5783135530271315,0.18181818181818182
1001_ITH_FEA_XX,1001,ITH,F,XX,9,0,0,9,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,False,True,1.0,F,F,F,-0.0,1.0
1001_ITH_HAP_XX,1001,ITH,H,XX,8,1,0,3,1,3,0,0.125,0.0,0.375,0.125,0.375,0.0,True,False,0.375,N,F,TIE,0.7006980271295309,0.125
1001_ITH_NEU_XX,1001,ITH,N,XX,10,0,0,1,1,8,0,0.0,0.0,0.1,0.1,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.8
1001_ITH_SAD_XX,1001,ITH,S,XX,10,0,0,4,0,5,1,0.0,0.0,0.4,0.0,0.5,0.1,False,True,0.5,N,N,N,0.5264927622988719,0.1
1001_ITS_ANG_XX,1001,ITS,A,XX,10,1,6,1,0,2,0,0.1,0.6,0.1,0.0,0.2,0.0,False,True,0.6,D,D,D,0.6077266474915606,0.1
1001_ITS_DIS_XX,1001,ITS,D,XX,9,1,3,0,0,5,0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.5555555555555556,0.0,False,True,0.5555555555555556,N,N,N,0.5228873203291378,0.3333333333333333
1001_ITS_FEA_XX,1001,ITS,F,XX,9,2,0,3,3,1,0,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,True,False,0.3333333333333333,F,H,TIE,0.7315622998573797,0.3333333333333333
1001_ITS_HAP_XX,1001,ITS,H,XX,10,0,0,2,6,2,0,0.0,0.0,0.2,0.6,0.2,0.0,False,True,0.6,H,H,H,0.5303560860446522,0.6
1001_ITS_NEU_XX,1001,ITS,N,XX,9,0,0,0,0,9,0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,1.0,N,N,N,-0.0,1.0
1001_ITS_SAD_XX,1001,ITS,S,XX,10,0,2,2,0,5,1,0.0,0.2,0.2,0.0,0.5,0.1,False,True,0.5,N,N,N,0.6812338851926885,0.1
1001_IWL_ANG_XX,1001,IWL,A,XX,9,7,1,0,0,1,0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,False,True,0.7777777777777778,A,A,A,0.3816019491407121,0.7777777777777778
1001_IWL_DIS_XX,1001,IWL,D,XX,9,2,1,0,0,6,0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.6666666666666666,0.0,False,True,0.6666666666666666,N,N,N,0.4736604283676854,0.1111111111111111
1001_IWL_FEA_XX,1001,IWL,F,XX,8,4,0,1,0,3,0,0.5,0.0,0.125,0.0,0.375,0.0,False,True,0.5,A,A,A,0.5437754171820363,0.125
1001_IWL_HAP_XX,1001,IWL,H,XX,10,2,1,1,1,5,0,0.2,0.1,0.1,0.1,0.5,0.0,False,True,0.5,N,N,N,0.7586044466395968,0.1
1001_IWL_NEU_XX,1001,IWL,N,XX,10,0,2,0,0,8,0,0.0,0.2,0.0,0.0,0.8,0.0,False,True,0.8,N,N,N,0.27927991012866066,0.8
1001_IWL_SAD_XX,1001,IWL,S,XX,10,1,2,0,0,7,0,0.1,0.2,0.0,0.0,0.7,0.0,False,True,0.7,N,N,N,0.44750345474037617,0.0
1001_IWW_ANG_XX,1001,IWW,A,XX,7,1,4,0,0,2,0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,False,True,0.5714285714285714,D,D,D,0.5333862650237753,0.14285714285714285
1001_IWW_DIS_XX,1001,IWW,D,XX,10,1,3,0,0,5,1,0.1,0.3,0.0,0.0,0.5,0.1,False,True,0.5,N,N,N,0.6520308502568676,0.3
1001_IWW_FEA_XX,1001,IWW,F,XX,8,4,2,2,0,0,0,0.5,0.25,0.25,0.0,0.0,0.0,False,True,0.5,A,A,A,0.5802792108518123,0.25
1001_IWW_HAP_XX,1001,IWW,H,XX,7,1,1,2,0,3,0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.0,False,True,0.42857142857142855,N,N,N,0.7127263906780549,0.0
1001_IWW_NEU_XX,1001,IWW,N,XX,10,1,0,1,0,8,0,0.1,0.0,0.1,0.0,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.8
1001_IWW_SAD_XX,1001,IWW,S,XX,9,0,0,4,0,4,1,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111,True,False,0.4444444444444444,N,N,TIE,0.5385560615583984,0.1111111111111111
1001_MTI_ANG_XX,1001,MTI,A,XX,9,0,2,0,0,7,0,0.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.29563465864414723,0.0
1001_MTI_DIS_XX,1001,MTI,D,XX,9,1,3,1,0,4,0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.4444444444444444,0.0,False,True,0.4444444444444444,N,N,N,0.6780428259561715,0.3333333333333333
1001_MTI_FEA_XX,1001,MTI,F,XX,8,2,0,1,1,4,0,0.25,0.0,0.125,0.125,0.5,0.0,False,True,0.5,N,N,N,0.6769924126604477,0.125
1001_MTI_HAP_XX,1001,MTI,H,XX,10,1,0,1,4,4,0,0.1,0.0,0.1,0.4,0.4,0.0,True,False,0.4,N,N,TIE,0.6661327173632022,0.4
1001_MTI_NEU_XX,1001,MTI,N,XX,9,0,0,0,1,8,0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.8888888888888888
1001_MTI_SAD_XX,1001,MTI,S,XX,9,0,0,1,0,8,0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.0
1001_TAI_ANG_XX,1001,TAI,A,XX,8,1,3,0,0,3,1,0.125,0.375,0.0,0.0,0.375,0.125,True,False,0.375,N,D,TIE,0.7006980271295309,0.125
1001_TAI_DIS_XX,1001,TAI,D,XX,8,2,2,1,0,3,0,0.25,0.25,0.125,0.0,0.375,0.0,False,True,0.375,N,N,N,0.737201820799307,0.25
1001_TAI_FEA_XX,1001,TAI,F,XX,9,4,0,2,2,1,0,0.4444444444444444,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,False,True,0.4444444444444444,A,A,A,0.7104906425515282,0.2222222222222222
1001_TAI_HAP_XX,1001,TAI,H,XX,8,0,0,0,1,7,0,0.0,0.0,0.0,0.125,0.875,0.0,False,True,0.875,N,N,N,0.2102794307646444,0.125
1001_TAI_NEU_XX,1001,TAI,N,XX,9,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.8888888888888888
1001_TAI_SAD_XX,1001,TAI,S,XX,7,0,0,1,0,6,0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,False,True,0.8571428571428571,N,N,N,0.2288902753588347,0.0
1001_TIE_ANG_XX,1001,TIE,A,XX,11,5,4,0,0,2,0,0.45454545454545453,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,False,True,0.45454545454545453,A,A,A,0.5783135530271315,0.45454545454545453
1001_TIE_DIS_XX,1001,TIE,D,XX,9,3,4,0,0,2,0,0.3333333333333333,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,False,True,0.4444444444444444,D,D,D,0.5920755354596067,0.4444444444444444
1001_TIE_FEA_XX,1001,TIE,F,XX,11,7,1,1,0,2,0,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.0,False,True,0.6363636363636364,A,A,A,0.5768419656529612,0.09090909090909091
1001_TIE_HAP_XX,1001,TIE,H,XX,7,2,1,0,1,3,0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0,False,True,0.42857142857142855,N,N,N,0.7127263906780549,0.14285714285714285
1001_TIE_NEU_XX,1001,TIE,N,XX,10,0,0,0,0,10,0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,1.0,N,N,N,-0.0,1.0
1001_TIE_SAD_XX,1001,TIE,S,XX,10,0,1,1,0,8,0,0.0,0.1,0.1,0.0,0.8,0.0,False,True,0.8,N,N,N,0.35665047157556895,0.0
1001_TSI_ANG_XX,1001,TSI,A,XX,9,2,4,1,0,2,0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.0,False,True,0.4444444444444444,D,D,D,0.710490642551528,0.2222222222222222
1001_TSI_DIS_XX,1001,TSI,D,XX,9,1,0,3,0,4,1,0.1111111111111111,0.0,0.3333333333333333,0.0,0.4444444444444444,0.1111111111111111,False,True,0.4444444444444444,N,N,N,0.6780428259561715,0.0
1001_TSI_FEA_XX,1001,TSI,F,XX,8,0,0,7,0,1,0,0.0,0.0,0.875,0.0,0.125,0.0,False,True,0.875,F,F,F,0.2102794307646444,0.875
1001_TSI_HAP_XX,1001,TSI,H,XX,9,0,0,5,0,4,0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,False,True,0.5555555555555556,F,F,F,0.3834005559313648,0.0
1001_TSI_NEU_XX,1001,TSI,N,XX,10,0,0,0,0,10,0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,1.0,N,N,N,-0.0,1.0
1001_TSI_SAD_XX,1001,TSI,S,XX,8,0,2,2,0,4,0,0.0,0.25,0.25,0.0,0.5,0.0,False,True,0.5,N,N,N,0.5802792108518123,0.0
1001_WSI_ANG_XX,1001,WSI,A,XX,10,7,3,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.0,False,True,0.7,A,A,A,0.340929858357647,0.7
1001_WSI_DIS_XX,1001,WSI,D,XX,9,2,2,0,0,5,0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.5555555555555556,0.0,False,True,0.5555555555555556,N,N,N,0.5553351369244943,0.2222222222222222
1001_WSI_FEA_XX,1001,WSI,F,XX,9,7,2,0,0,0,0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,False,True,0.7777777777777778,A,A,A,0.29563465864414723,0.0
1001_WSI_HAP_XX,1001,WSI,H,XX,9,4,0,1,1,3,0,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,False,True,0.4444444444444444,A,A,A,0.6780428259561716,0.1111111111111111
1001_WSI_NEU_XX,1001,WSI,N,XX,8,1,0,0,0,7,0,0.125,0.0,0.0,0.0,0.875,0.0,False,True,0.875,N,N,N,0.2102794307646444,0.875
1001_WSI_SAD_XX,1001,WSI,S,XX,9,2,1,0,0,6,0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.6666666666666666,0.0,False,True,0.6666666666666666,N,N,N,0.4736604283676854,0.0
1002_DFA_ANG_XX,1002,DFA,A,XX,8,6,0,0,0,2,0,0.75,0.0,0.0,0.0,0.25,0.0,False,True,0.75,A,A,A,0.3138452198949893,0.75
1002_DFA_DIS_XX,1002,DFA,D,XX,10,1,7,0,0,1,1,0.1,0.7,0.0,0.0,0.1,0.1,False,True,0.7,D,D,D,0.5248740161872845,0.7
1002_DFA_FEA_XX,1002,DFA,F,XX,9,0,0,8,0,1,0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,False,True,0.8888888888888888,F,F,F,0.19468689957213928,0.8888888888888888
1002_DFA_HAP_XX,1002,DFA,H,XX,10,0,0,1,7,2,0,0.0,0.0,0.1,0.7,0.2,0.0,False,True,0.7,H,H,H,0.44750345474037617,0.7
1002_DFA_NEU_XX,1002,DFA,N,XX,11,0,0,0,0,8,3,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,False,True,0.7272727272727273,N,N,N,0.3270263829307386,0.7272727272727273
1002_DFA_SAD_XX,1002,DFA,S,XX,9,0,0,0,0,7,2,0.0,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,False,True,0.7777777777777778,N,N,N,0.29563465864414723,0.2222222222222222
1002_IEO_ANG_HI,1002,IEO,A,HI,9,3,5,0,1,0,0,0.3333333333333333,0.5555555555555556,0.0,0.1111111111111111,0.0,0.0,False,True,0.5555555555555556,D,D,D,0.5228873203291379,0.3333333333333333
1002_IEO_ANG_LO,1002,IEO,A,LO,10,7,2,1,0,0,0,0.7,0.2,0.1,0.0,0.0,0.0,False,True,0.7,A,A,A,0.4475034547403761,0.7
1002_IEO_ANG_MD,1002,IEO,A,MD,10,8,2,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,False,True,0.8,A,A,A,0.27927991012866066,0.8
1002_IEO_DIS_HI,1002,IEO,D,HI,8,0,0,2,0,6,0,0.0,0.0,0.25,0.0,0.75,0.0,False,True,0.75,N,N,N,0.3138452198949893,0.0
1002_IEO_DIS_LO,1002,IEO,D,LO,7,0,1,0,0,5,1,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.14285714285714285,False,True,0.7142857142857143,N,N,N,0.4444299884274582,0.14285714285714285
1002_IEO_DIS_MD,1002,IEO,D,MD,10,1,3,4,1,1,0,0.1,0.3,0.4,0.1,0.1,0.0,False,True,0.4,F,F,F,0.7916708053211979,0.3
1002_IEO_FEA_HI,1002,IEO,F,HI,10,0,0,5,3,2,0,0.0,0.0,0.5,0.3,0.2,0.0,False,True,0.5,F,F,F,0.5746602888099595,0.5
1002_IEO_FEA_LO,1002,IEO,F,LO,8,0,1,5,0,2,0,0.0,0.125,0.625,0.0,0.25,0.0,False,True,0.625,F,F,F,0.502442468830035,0.625
1002_IEO_FEA_MD,1002,IEO,F,MD,9,0,4,3,0,2,0,0.0,0.4444444444444444,0.3333333333333333,0.0,0.2222222222222222,0.0,False,True,0.4444444444444444,D,D,D,0.5920755354596067,0.3333333333333333
1002_IEO_HAP_HI,1002,IEO,H,HI,10,0,2,4,4,0,0,0.0,0.2,0.4,0.4,0.0,0.0,True,False,0.4,H,F,TIE,0.588762155916294,0.4
1002_IEO_HAP_LO,1002,IEO,H,LO,10,0,0,5,0,4,1,0.0,0.0,0.5,0.0,0.4,0.1,False,True,0.5,F,F,F,0.5264927622988719,0.0
1002_IEO_HAP_MD,1002,IEO,H,MD,9,1,1,0,1,6,0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0.0,False,True,0.6666666666666666,N,N,N,0.5596277188642502,0.1111111111111111
1002_IEO_NEU_XX,1002,IEO,N,XX,9,0,0,1,0,8,0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.8888888888888888
1002_IEO_SAD_HI,1002,IEO,S,HI,9,0,1,1,0,4,3,0.0,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.3333333333333333,False,True,0.4444444444444444,N,N,N,0.6780428259561716,0.3333333333333333
1002_IEO_SAD_LO,1002,IEO,S,LO,10,0,0,1,0,4,5,0.0,0.0,0.1,0.0,0.4,0.5,False,True,0.5,S,S,S,0.526492762298872,0.5
1002_IEO_SAD_MD,1002,IEO,S,MD,10,0,1,2,1,5,1,0.0,0.1,0.2,0.1,0.5,0.1,False,True,0.5,N,N,N,0.7586044466395968,0.1
1002_IOM_ANG_XX,1002,IOM,A,XX,10,8,2,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,False,True,0.8,A,A,A,0.27927991012866066,0.8
1002_IOM_DIS_XX,1002,IOM,D,XX,8,0,2,4,0,2,0,0.0,0.25,0.5,0.0,0.25,0.0,False,True,0.5,F,F,F,0.5802792108518123,0.25
1002_IOM_FEA_XX,1002,IOM,F,XX,9,0,0,3,1,4,1,0.0,0.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1111111111111111,False,True,0.4444444444444444,N,N,N,0.6780428259561715,0.3333333333333333
1002_IOM_HAP_XX,1002,IOM,H,XX,9,0,0,1,0,7,1,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.1111111111111111,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.0
1002_IOM_NEU_XX,1002,IOM,N,XX,9,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,False,True,0.8888888888888888,N,N,N,0.19468689957213928,0.8888888888888888
1002_IOM_SAD_XX,1002,IOM,S,XX,10,1,0,0,0,8,1,0.1,0.0,0.0,0.0,0.8,0.1,False,True,0.8,N,N,N,0.35665047157556895,0.1
1002_ITH_ANG_XX,1002,ITH,A,XX,10,2,4,1,1,2,0,0.2,0.4,0.1,0.1,0.2,0.0,False,True,0.4,D,D,D,0.8208738402570188,0.2
1002_ITH_DIS_XX,1002,ITH,D,XX,8,1,2,1,0,1,3,0.125,0.25,0.125,0.0,0.125,0.375,False,True,0.375,S,S,S,0.8339150226079424,0.25
1002_ITH_FEA_XX,1002,ITH,F,XX,10,0,0,7,0,1,2,0.0,0.0,0.7,0.0,0.1,0.2,False,True,0.7,F,F,F,0.44750345474037617,0.7
1002_ITH_HAP_XX,1002,ITH,H,XX,8,0,0,4,2,2,0,0.0,0.0,0.5,0.25,0.25,0.0,False,True,0.5,F,F,F,0.5802792108518123,0.25
1002_ITH_NEU_XX,1002,ITH,N,XX,9,0,0,1,1,7,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.7777777777777778
1002_ITH_SAD_XX,1002,ITH,S,XX,7,0,2,2,0,1,2,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,True,False,0.2857142857142857,D,D,TIE,0.754445012014942,0.2857142857142857
1002_ITS_ANG_XX,1002,ITS,A,XX,10,1,3,1,0,5,0,0.1,0.3,0.1,0.0,0.5,0.0,False,True,0.5,N,N,N,0.6520308502568676,0.1
1002_ITS_DIS_XX,1002,ITS,D,XX,10,1,0,2,2,2,3,0.1,0.0,0.2,0.2,0.2,0.3,False,True,0.3,S,S,S,0.8690413667681064,0.0
1002_ITS_FEA_XX,1002,ITS,F,XX,10,1,1,7,0,0,1,0.1,0.1,0.7,0.0,0.0,0.1,False,True,0.7,F,F,F,0.5248740161872845,0.7
1002_ITS_HAP_XX,1002,ITS,H,XX,9,0,1,1,7,0,0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,0.0,False,True,0.7777777777777778,H,H,H,0.3816019491407121,0.7777777777777778
1002_ITS_NEU_XX,1002,ITS,N,XX,9,0,0,4,0,3,2,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.2222222222222222,False,True,0.4444444444444444,F,F,F,0.5920755354596067,0.3333333333333333
1002_ITS_SAD_XX,1002,ITS,S,XX,9,0,0,3,0,4,2,0.0,0.0,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,False,True,0.4444444444444444,N,N,N,0.5920755354596067,0.2222222222222222
1002_IWL_ANG_XX,1002,IWL,A,XX,9,7,1,0,0,1,0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,False,True,0.7777777777777778,A,A,A,0.3816019491407121,0.7777777777777778
1002_IWL_DIS_XX,1002,IWL,D,XX,9,1,0,2,0,4,2,0.1111111111111111,0.0,0.2222222222222222,0.0,0.4444444444444444,0.2222222222222222,False,True,0.4444444444444444,N,N,N,0.710490642551528,0.0
1002_IWL_FEA_XX,1002,IWL,F,XX,9,0,0,2,0,4,3,0.0,0.0,0.2222222222222222,0.0,0.4444444444444444,0.3333333333333333,False,True,0.4444444444444444,N,N,N,0.5920755354596067,0.2222222222222222
1002_IWL_HAP_XX,1002,IWL,H,XX,10,0,1,0,3,6,0,0.0,0.1,0.0,0.3,0.6,0.0,False,True,0.6,N,N,N,0.5011530511088312,0.3
1002_IWL_NEU_XX,1002,IWL,N,XX,9,0,0,0,1,7,1,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.1111111111111111,False,True,0.7777777777777778,N,N,N,0.3816019491407121,0.7777777777777778
1002_IWL_SAD_XX,1002,IWL,S,XX,8,0,1,0,0,6,1,0.0,0.125,0.0,0.0,0.75,0.125,False,True,0.75,N,N,N,0.4105584217036248,0.125
1002_IWW_ANG_XX,1002,IWW,A,XX,7,4,2,1,0,0,0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,False,True,0.5714285714285714,A,A,A,0.5333862650237753,0.5714285714285714
1002_IWW_DIS_XX,1002,IWW,D,XX,9,1,4,1,0,2,1,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,False,True,0.4444444444444444,D,D,D,0.7964579330480929,0.4444444444444444
1002_IWW_FEA_XX,1002,IWW,F,XX,10,1,1,6,0,2,0,0.1,0.1,0.6,0.0,0.2,0.0,False,True,0.6,F,F,F,0.6077266474915606,0.6
1002_IWW_HAP_XX,1002,IWW,H,XX,8,1,0,0,7,0,0,0.125,0.0,0.0,0.875,0.0,0.0,False,True,0.875,H,H,H,0.2102794307646444,0.875
